task,pair_id,cond_x,cond_y,dimension,verdict
csv-parser,csv-parser::AvsC::csv-parser-20260511-151126_vs_csv-parser-20260511-142614,A,C,spec_adherence,X
csv-parser,csv-parser::AvsC::csv-parser-20260511-151126_vs_csv-parser-20260511-142614,A,C,restraint,Y
csv-parser,csv-parser::AvsC::csv-parser-20260511-151126_vs_csv-parser-20260511-151126,A,C,test_quality,X
csv-parser,csv-parser::AvsC::csv-parser-20260511-151126_vs_csv-parser-20260511-151126,A,C,design_quality,X
csv-parser,csv-parser::AvsC::csv-parser-20260511-151126_vs_csv-parser-20260511-151126,A,C,spec_adherence,X
csv-parser,csv-parser::AvsC::csv-parser-20260511-151126_vs_csv-parser-20260511-151126,A,C,restraint,Y
csv-parser,csv-parser::AvsC::csv-parser-20260511-151126_vs_csv-parser-20260511-153335,A,C,test_quality,X
csv-parser,csv-parser::AvsC::csv-parser-20260511-151126_vs_csv-parser-20260511-153335,A,C,design_quality,X
csv-parser,csv-parser::AvsC::csv-parser-20260511-151126_vs_csv-parser-20260511-153335,A,C,spec_adherence,X
csv-parser,csv-parser::AvsC::csv-parser-20260511-151126_vs_csv-parser-20260511-153335,A,C,restraint,Y
csv-parser,csv-parser::AvsC::csv-parser-20260511-153335_vs_csv-parser-20260511-142614,A,C,test_quality,X
csv-parser,csv-parser::AvsC::csv-parser-20260511-153335_vs_csv-parser-20260511-142614,A,C,design_quality,X
csv-parser,csv-parser::AvsC::csv-parser-20260511-153335_vs_csv-parser-20260511-142614,A,C,spec_adherence,tie
csv-parser,csv-parser::AvsC::csv-parser-20260511-153335_vs_csv-parser-20260511-142614,A,C,restraint,Y
csv-parser,csv-parser::AvsC::csv-parser-20260511-153335_vs_csv-parser-20260511-151126,A,C,test_quality,X
csv-parser,csv-parser::AvsC::csv-parser-20260511-153335_vs_csv-parser-20260511-151126,A,C,design_quality,X
csv-parser,csv-parser::AvsC::csv-parser-20260511-153335_vs_csv-parser-20260511-151126,A,C,spec_adherence,X
csv-parser,csv-parser::AvsC::csv-parser-20260511-153335_vs_csv-parser-20260511-151126,A,C,restraint,tie
csv-parser,csv-parser::AvsC::csv-parser-20260511-153335_vs_csv-parser-20260511-153335,A,C,test_quality,X
csv-parser,csv-parser::AvsC::csv-parser-20260511-153335_vs_csv-parser-20260511-153335,A,C,design_quality,X
csv-parser,csv-parser::AvsC::csv-parser-20260511-153335_vs_csv-parser-20260511-153335,A,C,spec_adherence,X
csv-parser,csv-parser::AvsC::csv-parser-20260511-153335_vs_csv-parser-20260511-153335,A,C,restraint,Y
csv-parser,csv-parser::BvsC::csv-parser-20260511-142614_vs_csv-parser-20260511-142614,B,C,test_quality,Y
csv-parser,csv-parser::BvsC::csv-parser-20260511-142614_vs_csv-parser-20260511-142614,B,C,design_quality,tie
csv-parser,csv-parser::BvsC::csv-parser-20260511-142614_vs_csv-parser-20260511-142614,B,C,spec_adherence,tie
csv-parser,csv-parser::BvsC::csv-parser-20260511-142614_vs_csv-parser-20260511-142614,B,C,restraint,tie
csv-parser,csv-parser::BvsC::csv-parser-20260511-142614_vs_csv-parser-20260511-151126,B,C,test_quality,Y
csv-parser,csv-parser::BvsC::csv-parser-20260511-142614_vs_csv-parser-20260511-151126,B,C,design_quality,X
csv-parser,csv-parser::BvsC::csv-parser-20260511-142614_vs_csv-parser-20260511-151126,B,C,spec_adherence,tie
csv-parser,csv-parser::BvsC::csv-parser-20260511-142614_vs_csv-parser-20260511-151126,B,C,restraint,tie
csv-parser,csv-parser::BvsC::csv-parser-20260511-142614_vs_csv-parser-20260511-153335,B,C,test_quality,Y
csv-parser,csv-parser::BvsC::csv-parser-20260511-142614_vs_csv-parser-20260511-153335,B,C,design_quality,X
csv-parser,csv-parser::BvsC::csv-parser-20260511-142614_vs_csv-parser-20260511-153335,B,C,spec_adherence,tie
csv-parser,csv-parser::BvsC::csv-parser-20260511-142614_vs_csv-parser-20260511-153335,B,C,restraint,tie
csv-parser,csv-parser::BvsC::csv-parser-20260511-151126_vs_csv-parser-20260511-142614,B,C,test_quality,Y
csv-parser,csv-parser::BvsC::csv-parser-20260511-151126_vs_csv-parser-20260511-142614,B,C,design_quality,tie
csv-parser,csv-parser::BvsC::csv-parser-20260511-151126_vs_csv-parser-20260511-142614,B,C,spec_adherence,tie
csv-parser,csv-parser::BvsC::csv-parser-20260511-151126_vs_csv-parser-20260511-142614,B,C,restraint,tie
csv-parser,csv-parser::BvsC::csv-parser-20260511-151126_vs_csv-parser-20260511-151126,B,C,test_quality,Y
csv-parser,csv-parser::BvsC::csv-parser-20260511-151126_vs_csv-parser-20260511-151126,B,C,design_quality,X
csv-parser,csv-parser::BvsC::csv-parser-20260511-151126_vs_csv-parser-20260511-151126,B,C,spec_adherence,tie
csv-parser,csv-parser::BvsC::csv-parser-20260511-151126_vs_csv-parser-20260511-151126,B,C,restraint,tie
csv-parser,csv-parser::BvsC::csv-parser-20260511-151126_vs_csv-parser-20260511-153335,B,C,test_quality,Y
csv-parser,csv-parser::BvsC::csv-parser-20260511-151126_vs_csv-parser-20260511-153335,B,C,design_quality,Y
csv-parser,csv-parser::BvsC::csv-parser-20260511-151126_vs_csv-parser-20260511-153335,B,C,spec_adherence,tie
csv-parser,csv-parser::BvsC::csv-parser-20260511-151126_vs_csv-parser-20260511-153335,B,C,restraint,tie
csv-parser,csv-parser::BvsC::csv-parser-20260511-153335_vs_csv-parser-20260511-142614,B,C,test_quality,Y
csv-parser,csv-parser::BvsC::csv-parser-20260511-153335_vs_csv-parser-20260511-142614,B,C,design_quality,Y
csv-parser,csv-parser::BvsC::csv-parser-20260511-153335_vs_csv-parser-20260511-142614,B,C,spec_adherence,tie
csv-parser,csv-parser::BvsC::csv-parser-20260511-153335_vs_csv-parser-20260511-142614,B,C,restraint,tie
csv-parser,csv-parser::BvsC::csv-parser-20260511-153335_vs_csv-parser-20260511-151126,B,C,test_quality,tie
csv-parser,csv-parser::BvsC::csv-parser-20260511-153335_vs_csv-parser-20260511-151126,B,C,design_quality,Y
csv-parser,csv-parser::BvsC::csv-parser-20260511-153335_vs_csv-parser-20260511-151126,B,C,spec_adherence,tie
csv-parser,csv-parser::BvsC::csv-parser-20260511-153335_vs_csv-parser-20260511-151126,B,C,restraint,tie
csv-parser,csv-parser::BvsC::csv-parser-20260511-153335_vs_csv-parser-20260511-153335,B,C,test_quality,tie
csv-parser,csv-parser::BvsC::csv-parser-20260511-153335_vs_csv-parser-20260511-153335,B,C,design_quality,X
csv-parser,csv-parser::BvsC::csv-parser-20260511-153335_vs_csv-parser-20260511-153335,B,C,spec_adherence,tie
csv-parser,csv-parser::BvsC::csv-parser-20260511-153335_vs_csv-parser-20260511-153335,B,C,restraint,tie
retry,retry::AvsB::retry-20260511-144230_vs_retry-20260511-144230,A,B,test_quality,X
retry,retry::AvsB::retry-20260511-144230_vs_retry-20260511-144230,A,B,design_quality,X
retry,retry::AvsB::retry-20260511-144230_vs_retry-20260511-144230,A,B,spec_adherence,tie
retry,retry::AvsB::retry-20260511-144230_vs_retry-20260511-144230,A,B,restraint,Y
retry,retry::AvsB::retry-20260511-144230_vs_retry-20260511-152535,A,B,test_quality,X
retry,retry::AvsB::retry-20260511-144230_vs_retry-20260511-152535,A,B,design_quality,X
retry,retry::AvsB::retry-20260511-144230_vs_retry-20260511-152535,A,B,spec_adherence,tie
retry,retry::AvsB::retry-20260511-144230_vs_retry-20260511-152535,A,B,restraint,Y
retry,retry::AvsB::retry-20260511-144230_vs_retry-20260511-154755,A,B,test_quality,X
retry,retry::AvsB::retry-20260511-144230_vs_retry-20260511-154755,A,B,design_quality,X
retry,retry::AvsB::retry-20260511-144230_vs_retry-20260511-154755,A,B,spec_adherence,X
retry,retry::AvsB::retry-20260511-144230_vs_retry-20260511-154755,A,B,restraint,Y
retry,retry::AvsB::retry-20260511-152535_vs_retry-20260511-144230,A,B,test_quality,X
retry,retry::AvsB::retry-20260511-152535_vs_retry-20260511-144230,A,B,design_quality,X
retry,retry::AvsB::retry-20260511-152535_vs_retry-20260511-144230,A,B,spec_adherence,X
retry,retry::AvsB::retry-20260511-152535_vs_retry-20260511-144230,A,B,restraint,Y
retry,retry::AvsB::retry-20260511-152535_vs_retry-20260511-152535,A,B,test_quality,X
retry,retry::AvsB::retry-20260511-152535_vs_retry-20260511-152535,A,B,design_quality,X
retry,retry::AvsB::retry-20260511-152535_vs_retry-20260511-152535,A,B,spec_adherence,tie
retry,retry::AvsB::retry-20260511-152535_vs_retry-20260511-152535,A,B,restraint,Y
retry,retry::AvsB::retry-20260511-152535_vs_retry-20260511-154755,A,B,test_quality,X
retry,retry::AvsB::retry-20260511-152535_vs_retry-20260511-154755,A,B,design_quality,X
retry,retry::AvsB::retry-20260511-152535_vs_retry-20260511-154755,A,B,spec_adherence,tie
retry,retry::AvsB::retry-20260511-152535_vs_retry-20260511-154755,A,B,restraint,Y
retry,retry::AvsB::retry-20260511-154755_vs_retry-20260511-144230,A,B,test_quality,X
retry,retry::AvsB::retry-20260511-154755_vs_retry-20260511-144230,A,B,design_quality,X
retry,retry::AvsB::retry-20260511-154755_vs_retry-20260511-144230,A,B,spec_adherence,tie
retry,retry::AvsB::retry-20260511-154755_vs_retry-20260511-144230,A,B,restraint,Y
retry,retry::AvsB::retry-20260511-154755_vs_retry-20260511-152535,A,B,test_quality,X
retry,retry::AvsB::retry-20260511-154755_vs_retry-20260511-152535,A,B,design_quality,X
retry,retry::AvsB::retry-20260511-154755_vs_retry-20260511-152535,A,B,spec_adherence,tie
retry,retry::AvsB::retry-20260511-154755_vs_retry-20260511-152535,A,B,restraint,Y
retry,retry::AvsB::retry-20260511-154755_vs_retry-20260511-154755,A,B,test_quality,X
retry,retry::AvsB::retry-20260511-154755_vs_retry-20260511-154755,A,B,design_quality,X
retry,retry::AvsB::retry-20260511-154755_vs_retry-20260511-154755,A,B,spec_adherence,X
retry,retry::AvsB::retry-20260511-154755_vs_retry-20260511-154755,A,B,restraint,Y
retry,retry::AvsC::retry-20260511-144230_vs_retry-20260511-144230,A,C,test_quality,Y
retry,retry::AvsC::retry-20260511-144230_vs_retry-20260511-144230,A,C,design_quality,X
retry,retry::AvsC::retry-20260511-144230_vs_retry-20260511-144230,A,C,spec_adherence,tie
retry,retry::AvsC::retry-20260511-144230_vs_retry-20260511-144230,A,C,restraint,Y
retry,retry::AvsC::retry-20260511-144230_vs_retry-20260511-152535,A,C,test_quality,X
retry,retry::AvsC::retry-20260511-144230_vs_retry-20260511-152535,A,C,design_quality,X
retry,retry::AvsC::retry-20260511-144230_vs_retry-20260511-152535,A,C,spec_adherence,X
retry,retry::AvsC::retry-20260511-144230_vs_retry-20260511-152535,A,C,restraint,Y
retry,retry::AvsC::retry-20260511-144230_vs_retry-20260511-154755,A,C,test_quality,X
retry,retry::AvsC::retry-20260511-144230_vs_retry-20260511-154755,A,C,design_quality,X
retry,retry::AvsC::retry-20260511-144230_vs_retry-20260511-154755,A,C,spec_adherence,X
retry,retry::AvsC::retry-20260511-144230_vs_retry-20260511-154755,A,C,restraint,Y
retry,retry::AvsC::retry-20260511-152535_vs_retry-20260511-144230,A,C,test_quality,X
retry,retry::AvsC::retry-20260511-152535_vs_retry-20260511-144230,A,C,design_quality,X
retry,retry::AvsC::retry-20260511-152535_vs_retry-20260511-144230,A,C,spec_adherence,tie
retry,retry::AvsC::retry-20260511-152535_vs_retry-20260511-144230,A,C,restraint,Y
retry,retry::AvsC::retry-20260511-152535_vs_retry-20260511-152535,A,C,test_quality,X
retry,retry::AvsC::retry-20260511-152535_vs_retry-20260511-152535,A,C,design_quality,X
retry,retry::AvsC::retry-20260511-152535_vs_retry-20260511-152535,A,C,spec_adherence,X
retry,retry::AvsC::retry-20260511-152535_vs_retry-20260511-152535,A,C,restraint,Y
retry,retry::AvsC::retry-20260511-152535_vs_retry-20260511-154755,A,C,test_quality,X
retry,retry::AvsC::retry-20260511-152535_vs_retry-20260511-154755,A,C,design_quality,X
retry,retry::AvsC::retry-20260511-152535_vs_retry-20260511-154755,A,C,spec_adherence,tie
retry,retry::AvsC::retry-20260511-152535_vs_retry-20260511-154755,A,C,restraint,Y
retry,retry::AvsC::retry-20260511-154755_vs_retry-20260511-144230,A,C,test_quality,X
retry,retry::AvsC::retry-20260511-154755_vs_retry-20260511-144230,A,C,design_quality,Y
retry,retry::AvsC::retry-20260511-154755_vs_retry-20260511-144230,A,C,spec_adherence,tie
retry,retry::AvsC::retry-20260511-154755_vs_retry-20260511-144230,A,C,restraint,Y
retry,retry::AvsC::retry-20260511-154755_vs_retry-20260511-152535,A,C,test_quality,X
retry,retry::AvsC::retry-20260511-154755_vs_retry-20260511-152535,A,C,design_quality,X
retry,retry::AvsC::retry-20260511-154755_vs_retry-20260511-152535,A,C,spec_adherence,tie
retry,retry::AvsC::retry-20260511-154755_vs_retry-20260511-152535,A,C,restraint,Y
retry,retry::AvsC::retry-20260511-154755_vs_retry-20260511-154755,A,C,test_quality,X
retry,retry::AvsC::retry-20260511-154755_vs_retry-20260511-154755,A,C,design_quality,X
retry,retry::AvsC::retry-20260511-154755_vs_retry-20260511-154755,A,C,spec_adherence,tie
retry,retry::AvsC::retry-20260511-154755_vs_retry-20260511-154755,A,C,restraint,Y
retry,retry::BvsC::retry-20260511-144230_vs_retry-20260511-144230,B,C,test_quality,Y
retry,retry::BvsC::retry-20260511-144230_vs_retry-20260511-144230,B,C,design_quality,Y
retry,retry::BvsC::retry-20260511-144230_vs_retry-20260511-144230,B,C,spec_adherence,Y
retry,retry::BvsC::retry-20260511-144230_vs_retry-20260511-144230,B,C,restraint,X
retry,retry::BvsC::retry-20260511-144230_vs_retry-20260511-152535,B,C,test_quality,X
retry,retry::BvsC::retry-20260511-144230_vs_retry-20260511-152535,B,C,design_quality,Y
retry,retry::BvsC::retry-20260511-144230_vs_retry-20260511-152535,B,C,spec_adherence,tie
retry,retry::BvsC::retry-20260511-144230_vs_retry-20260511-152535,B,C,restraint,X
retry,retry::BvsC::retry-20260511-144230_vs_retry-20260511-154755,B,C,test_quality,Y
retry,retry::BvsC::retry-20260511-144230_vs_retry-20260511-154755,B,C,design_quality,Y
retry,retry::BvsC::retry-20260511-144230_vs_retry-20260511-154755,B,C,spec_adherence,Y
retry,retry::BvsC::retry-20260511-144230_vs_retry-20260511-154755,B,C,restraint,X
retry,retry::BvsC::retry-20260511-152535_vs_retry-20260511-144230,B,C,test_quality,Y
retry,retry::BvsC::retry-20260511-152535_vs_retry-20260511-144230,B,C,design_quality,Y
retry,retry::BvsC::retry-20260511-152535_vs_retry-20260511-144230,B,C,spec_adherence,tie
retry,retry::BvsC::retry-20260511-152535_vs_retry-20260511-144230,B,C,restraint,X
retry,retry::BvsC::retry-20260511-152535_vs_retry-20260511-152535,B,C,test_quality,X
retry,retry::BvsC::retry-20260511-152535_vs_retry-20260511-152535,B,C,design_quality,Y
retry,retry::BvsC::retry-20260511-152535_vs_retry-20260511-152535,B,C,spec_adherence,tie
retry,retry::BvsC::retry-20260511-152535_vs_retry-20260511-152535,B,C,restraint,X
retry,retry::BvsC::retry-20260511-152535_vs_retry-20260511-154755,B,C,test_quality,Y
retry,retry::BvsC::retry-20260511-152535_vs_retry-20260511-154755,B,C,design_quality,Y
retry,retry::BvsC::retry-20260511-152535_vs_retry-20260511-154755,B,C,spec_adherence,tie
retry,retry::BvsC::retry-20260511-152535_vs_retry-20260511-154755,B,C,restraint,X
retry,retry::BvsC::retry-20260511-154755_vs_retry-20260511-144230,B,C,test_quality,Y
retry,retry::BvsC::retry-20260511-154755_vs_retry-20260511-144230,B,C,design_quality,Y
retry,retry::BvsC::retry-20260511-154755_vs_retry-20260511-144230,B,C,spec_adherence,tie
retry,retry::BvsC::retry-20260511-154755_vs_retry-20260511-144230,B,C,restraint,X
retry,retry::BvsC::retry-20260511-154755_vs_retry-20260511-152535,B,C,test_quality,X
retry,retry::BvsC::retry-20260511-154755_vs_retry-20260511-152535,B,C,design_quality,Y
retry,retry::BvsC::retry-20260511-154755_vs_retry-20260511-152535,B,C,spec_adherence,tie
retry,retry::BvsC::retry-20260511-154755_vs_retry-20260511-152535,B,C,restraint,X
retry,retry::BvsC::retry-20260511-154755_vs_retry-20260511-154755,B,C,test_quality,Y
retry,retry::BvsC::retry-20260511-154755_vs_retry-20260511-154755,B,C,design_quality,Y
retry,retry::BvsC::retry-20260511-154755_vs_retry-20260511-154755,B,C,spec_adherence,tie
retry,retry::BvsC::retry-20260511-154755_vs_retry-20260511-154755,B,C,restraint,X
rate-limiter,rate-limiter::AvsB::rate-limiter-20260511-143320_vs_rate-limiter-20260511-143320,A,B,test_quality,Y
rate-limiter,rate-limiter::AvsB::rate-limiter-20260511-143320_vs_rate-limiter-20260511-143320,A,B,design_quality,X
rate-limiter,rate-limiter::AvsB::rate-limiter-20260511-143320_vs_rate-limiter-20260511-143320,A,B,spec_adherence,tie
rate-limiter,rate-limiter::AvsB::rate-limiter-20260511-143320_vs_rate-limiter-20260511-143320,A,B,restraint,X
rate-limiter,rate-limiter::AvsB::rate-limiter-20260511-143320_vs_rate-limiter-20260511-151731,A,B,test_quality,X
rate-limiter,rate-limiter::AvsB::rate-limiter-20260511-143320_vs_rate-limiter-20260511-151731,A,B,design_quality,Y
rate-limiter,rate-limiter::AvsB::rate-limiter-20260511-143320_vs_rate-limiter-20260511-151731,A,B,spec_adherence,tie
rate-limiter,rate-limiter::AvsB::rate-limiter-20260511-143320_vs_rate-limiter-20260511-151731,A,B,restraint,X
rate-limiter,rate-limiter::AvsB::rate-limiter-20260511-143320_vs_rate-limiter-20260511-153908,A,B,test_quality,X
rate-limiter,rate-limiter::AvsB::rate-limiter-20260511-143320_vs_rate-limiter-20260511-153908,A,B,design_quality,Y
rate-limiter,rate-limiter::AvsB::rate-limiter-20260511-143320_vs_rate-limiter-20260511-153908,A,B,spec_adherence,tie
rate-limiter,rate-limiter::AvsB::rate-limiter-20260511-143320_vs_rate-limiter-20260511-153908,A,B,restraint,X
rate-limiter,rate-limiter::AvsB::rate-limiter-20260511-151731_vs_rate-limiter-20260511-143320,A,B,test_quality,X
rate-limiter,rate-limiter::AvsB::rate-limiter-20260511-151731_vs_rate-limiter-20260511-143320,A,B,design_quality,X
rate-limiter,rate-limiter::AvsB::rate-limiter-20260511-151731_vs_rate-limiter-20260511-143320,A,B,spec_adherence,tie
rate-limiter,rate-limiter::AvsB::rate-limiter-20260511-151731_vs_rate-limiter-20260511-143320,A,B,restraint,Y
rate-limiter,rate-limiter::AvsB::rate-limiter-20260511-151731_vs_rate-limiter-20260511-151731,A,B,test_quality,X
rate-limiter,rate-limiter::AvsB::rate-limiter-20260511-151731_vs_rate-limiter-20260511-151731,A,B,design_quality,X
rate-limiter,rate-limiter::AvsB::rate-limiter-20260511-151731_vs_rate-limiter-20260511-151731,A,B,spec_adherence,tie
rate-limiter,rate-limiter::AvsB::rate-limiter-20260511-151731_vs_rate-limiter-20260511-151731,A,B,restraint,Y
rate-limiter,rate-limiter::AvsB::rate-limiter-20260511-151731_vs_rate-limiter-20260511-153908,A,B,test_quality,X
rate-limiter,rate-limiter::AvsB::rate-limiter-20260511-151731_vs_rate-limiter-20260511-153908,A,B,design_quality,X
rate-limiter,rate-limiter::AvsB::rate-limiter-20260511-151731_vs_rate-limiter-20260511-153908,A,B,spec_adherence,tie
rate-limiter,rate-limiter::AvsB::rate-limiter-20260511-151731_vs_rate-limiter-20260511-153908,A,B,restraint,Y
rate-limiter,rate-limiter::AvsB::rate-limiter-20260511-153908_vs_rate-limiter-20260511-143320,A,B,test_quality,X
rate-limiter,rate-limiter::AvsB::rate-limiter-20260511-153908_vs_rate-limiter-20260511-143320,A,B,design_quality,X
rate-limiter,rate-limiter::AvsB::rate-limiter-20260511-153908_vs_rate-limiter-20260511-143320,A,B,spec_adherence,tie
rate-limiter,rate-limiter::AvsB::rate-limiter-20260511-153908_vs_rate-limiter-20260511-143320,A,B,restraint,Y
rate-limiter,rate-limiter::AvsB::rate-limiter-20260511-153908_vs_rate-limiter-20260511-151731,A,B,test_quality,X
rate-limiter,rate-limiter::AvsB::rate-limiter-20260511-153908_vs_rate-limiter-20260511-151731,A,B,design_quality,X
rate-limiter,rate-limiter::AvsB::rate-limiter-20260511-153908_vs_rate-limiter-20260511-151731,A,B,spec_adherence,tie
rate-limiter,rate-limiter::AvsB::rate-limiter-20260511-153908_vs_rate-limiter-20260511-151731,A,B,restraint,Y
rate-limiter,rate-limiter::AvsB::rate-limiter-20260511-153908_vs_rate-limiter-20260511-153908,A,B,test_quality,X
rate-limiter,rate-limiter::AvsB::rate-limiter-20260511-153908_vs_rate-limiter-20260511-153908,A,B,design_quality,X
rate-limiter,rate-limiter::AvsB::rate-limiter-20260511-153908_vs_rate-limiter-20260511-153908,A,B,spec_adherence,tie
rate-limiter,rate-limiter::AvsB::rate-limiter-20260511-153908_vs_rate-limiter-20260511-153908,A,B,restraint,Y
rate-limiter,rate-limiter::AvsC::rate-limiter-20260511-143320_vs_rate-limiter-20260511-143320,A,C,test_quality,Y
rate-limiter,rate-limiter::AvsC::rate-limiter-20260511-143320_vs_rate-limiter-20260511-143320,A,C,design_quality,X
rate-limiter,rate-limiter::AvsC::rate-limiter-20260511-143320_vs_rate-limiter-20260511-143320,A,C,spec_adherence,tie
rate-limiter,rate-limiter::AvsC::rate-limiter-20260511-143320_vs_rate-limiter-20260511-143320,A,C,restraint,tie
rate-limiter,rate-limiter::AvsC::rate-limiter-20260511-143320_vs_rate-limiter-20260511-151731,A,C,test_quality,Y
rate-limiter,rate-limiter::AvsC::rate-limiter-20260511-143320_vs_rate-limiter-20260511-151731,A,C,design_quality,Y
rate-limiter,rate-limiter::AvsC::rate-limiter-20260511-143320_vs_rate-limiter-20260511-151731,A,C,spec_adherence,tie
rate-limiter,rate-limiter::AvsC::rate-limiter-20260511-143320_vs_rate-limiter-20260511-151731,A,C,restraint,X
